post_id,content,author,author_title,company,timestamp,likes,comments,shares,total_engagement,hashtags,post_type,content_length,hour_posted,day_of_week,engagement_rate
li_0,Reflecting on 14 years in Manufacturing. Here's what I learned:,Professional_0,Data Scientist,Meta,2025-08-05T08:54:03.522621,2346,488,168,3002,#startup #data #growth,achievement,63,8,Tuesday,4690.62
li_1,Hiring Data Scientist to join our growing team! #hiring #careers,Professional_1,Software Engineer,Tesla,2025-08-09T08:54:03.521355,3912,418,184,4514,#enterprise #leadership,article,64,8,Saturday,6944.62
li_2,Just completed Scrum Master! Never stop learning. #growth,Professional_2,Product Manager,Microsoft,2025-08-07T08:54:03.524430,1983,294,185,2462,#ai #cloud #innovation #enterprise,job,57,8,Thursday,4244.83
li_3,Just completed Scrum Master! Never stop learning. #growth,Professional_3,Product Manager,Google,2025-08-04T08:54:03.523442,2477,270,183,2930,#enterprise #startup #tech #leadership #innovation,article,57,8,Monday,5051.72
li_4,Reflecting on 13 years in Tech. Here's what I learned:,Professional_4,HR Manager,IBM,2025-07-23T08:54:03.521520,2402,37,96,2535,#tech #enterprise #startup #cloud,job,54,8,Wednesday,4609.09
li_5,Reflecting on 20 years in Finance. Here's what I learned:,Professional_5,HR Manager,Tesla,2025-07-19T08:54:03.522001,3131,76,24,3231,#leadership #tech,achievement,57,8,Saturday,5570.69
li_6,Great insights from today's leadership conference. Key takeaways: AI is transforming business,Professional_6,Marketing Manager,Apple,2025-08-06T08:54:03.522300,1441,413,175,2029,#cloud #ai #tech #growth #enterprise,achievement,93,8,Wednesday,2158.51
li_7,Just completed Google Cloud! Never stop learning. #growth,Professional_7,DevOps Engineer,Meta,2025-07-15T08:54:03.522898,2341,32,170,2543,#tech #ai #enterprise,achievement,57,8,Tuesday,4384.48
li_8,Reflecting on 3 years in Healthcare. Here's what I learned:,Professional_8,Sales Director,Amazon,2025-07-14T08:54:03.525881,3121,493,171,3785,#growth #startup,article,59,8,Monday,6308.33
li_9,Just completed Google Cloud! Never stop learning. #growth,Professional_9,UX Designer,Apple,2025-08-02T08:54:03.525511,2212,456,182,2850,#data #startup #tech,status,57,8,Saturday,4913.79
li_10,Reflecting on 15 years in Finance. Here's what I learned:,Professional_10,UX Designer,Apple,2025-07-13T08:54:03.522021,1590,446,123,2159,#tech #leadership #growth,achievement,57,8,Sunday,3722.41
li_11,Just completed AWS certification! Never stop learning. #growth,Professional_11,Software Engineer,Apple,2025-07-19T08:54:03.527361,3048,140,11,3199,#tech #data,article,62,8,Saturday,5077.78
li_12,Reflecting on 20 years in Tech. Here's what I learned:,Professional_12,HR Manager,Microsoft,2025-07-23T08:54:03.521744,1372,275,47,1694,#tech #innovation,achievement,54,8,Wednesday,3080.0
li_13,Great insights from today's client workshop. Key takeaways: Customer experience is key,Professional_13,Data Scientist,Microsoft,2025-08-01T08:54:03.522977,2055,55,0,2110,#data #innovation #enterprise #cloud,article,86,8,Friday,2425.29
li_14,Excited to announce our new analytics tool launch! #innovation #tech,Professional_14,HR Manager,Oracle,2025-07-12T08:54:03.527775,2342,40,74,2456,#ai #startup,status,68,8,Saturday,3559.42
li_15,Great insights from today's team meeting. Key takeaways: Remote work is here to stay,Professional_15,Marketing Manager,Meta,2025-07-13T08:54:03.521304,155,79,154,388,#leadership #enterprise,job,84,8,Sunday,456.47
li_16,Just completed AWS certification! Never stop learning. #growth,Professional_16,Data Scientist,Amazon,2025-07-16T08:54:03.521345,2657,134,23,2814,#startup #tech #growth #leadership #innovation,achievement,62,8,Wednesday,4466.67
li_17,Great insights from today's leadership conference. Key takeaways: Customer experience is key,Professional_17,Marketing Manager,IBM,2025-08-08T08:54:03.521164,4058,311,114,4483,#innovation #enterprise #growth #data,achievement,92,8,Friday,4820.43
li_18,Excited to announce our new analytics tool launch! #innovation #tech,Professional_18,Marketing Manager,Amazon,2025-08-08T08:54:03.524875,3310,165,25,3500,#ai #tech #growth,status,68,8,Friday,5072.46
