review_id,company,rating,title,pros,cons,advice,author_role,author_tenure,timestamp,helpful_count,sentiment,pros_word_count,cons_word_count,review_length,year_posted,is_current_employee
gd_0,Microsoft,3.4,Mixed experience at Microsoft,Innovative culture and cutting-edge technology,Limited remote work options,Focus on innovation,Marketing Manager,Former Employee - 5 years,2024-08-21T08:54:03.530029,42,neutral,5,4,92,2024,False
gd_1,Oracle,4.9,Great experience at Oracle,Innovative culture and cutting-edge technology,Bureaucratic processes slow down innovation,Focus on employee development,UX Designer,Former Employee - 5 years,2024-12-08T08:54:03.522698,44,positive,5,5,118,2024,False
gd_2,Apple,3.4,Mixed experience at Apple,Great work-life balance and flexible hours,Limited remote work options,Focus on innovation,DevOps Engineer,Current Employee,2025-01-22T08:54:03.527215,36,neutral,6,4,88,2025,True
gd_3,Amazon,3.8,Mixed experience at Amazon,Supportive team and management,Limited advancement opportunities in some departments,Focus on employee development,Product Manager,Former Employee - 2 years,2024-12-26T08:54:03.531054,49,neutral,4,6,112,2024,False
gd_4,IBM,3.2,Mixed experience at IBM,Excellent learning opportunities and career growth,Fast-paced environment can be stressful,Focus on communication,HR Manager,Current Employee,2024-10-02T08:54:03.528081,47,neutral,6,5,111,2024,True
gd_5,Tesla,2.3,Challenging experience at Tesla,Excellent learning opportunities and career growth,Limited advancement opportunities in some departments,Focus on communication,Product Manager,Former Employee - 5 years,2025-04-22T08:54:03.528036,88,negative,6,6,125,2025,False
gd_6,Oracle,2.6,Challenging experience at Oracle,Supportive team and management,High expectations and long hours during crunch time,Focus on work-life balance,Data Scientist,Current Employee,2025-05-25T08:54:03.524806,61,negative,4,8,107,2025,True
gd_7,Tesla,2.7,Challenging experience at Tesla,Excellent learning opportunities and career growth,Limited remote work options,Focus on work-life balance,Data Scientist,Former Employee - 5 years,2025-04-06T08:54:03.530179,21,negative,6,4,103,2025,False
gd_8,Amazon,3.4,Mixed experience at Amazon,Supportive team and management,Fast-paced environment can be stressful,Focus on innovation,Marketing Manager,Former Employee - 5 years,2024-12-28T08:54:03.530968,31,neutral,4,5,88,2024,False
gd_9,Tesla,3.5,Mixed experience at Tesla,Competitive compensation and benefits,Limited advancement opportunities in some departments,Focus on communication,Product Manager,Current Employee,2025-04-12T08:54:03.522169,77,neutral,4,6,112,2025,True
